DATE,TIME,SPO2,PULSE
2014-06-29, 20:42:55, 95, 88
2014-06-29, 20:42:56, 96, 87
2014-06-29, 20:42:57, 95, 86
2014-06-29, 20:42:58, 95, 85
2014-06-29, 20:42:59, 95, 85
2014-06-29, 20:43:00, 95, 85
2014-06-29, 20:43:01, 94, 86
2014-06-29, 20:43:02, 94, 86
2014-06-29, 20:43:03, 94, 86
2014-06-29, 20:43:04, 94, 87
2014-06-29, 20:43:05, 94, 87
2014-06-29, 20:43:06, 95, 87
2014-06-29, 20:43:07, 95, 87
2014-06-29, 20:43:08, 95, 87
2014-06-29, 20:43:09, 95, 87
2014-06-29, 20:43:10, 95, 87
2014-06-29, 20:43:11, 95, 87
2014-06-29, 20:43:12, 95, 87
2014-06-29, 20:43:13, 95, 87
2014-06-29, 20:43:14, 95, 87
2014-06-29, 20:43:15, 95, 87
2014-06-29, 20:43:16, 95, 87
2014-06-29, 20:43:17, 95, 87
2014-06-29, 20:43:18, 95, 87
2014-06-29, 20:43:19, 95, 87
2014-06-29, 20:43:20, 95, 87
2014-06-29, 20:43:21, 95, 87
2014-06-29, 20:43:22, 95, 87
2014-06-29, 20:43:23, 95, 87
2014-06-29, 20:43:24, 95, 87
2014-06-29, 20:43:25, 95, 87
2014-06-29, 20:43:26, 95, 87
2014-06-29, 20:43:27, 95, 87
2014-06-29, 20:43:28, 95, 87
2014-06-29, 20:43:29, 95, 87
2014-06-29, 20:43:30, 96, 88
2014-06-29, 20:43:31, 97, 89
2014-06-29, 20:43:32, 98, 91
2014-06-29, 20:43:33, 97, 93
2014-06-29, 20:43:34, 97, 93
2014-06-29, 20:43:35, 97, 93
2014-06-29, 20:43:36, 97, 93
2014-06-29, 20:43:37, 97, 93
2014-06-29, 20:43:38, 97, 93
2014-06-29, 20:43:39, 97, 93
2014-06-29, 20:43:40, 98, 93
2014-06-29, 20:43:41, 98, 92
2014-06-29, 20:43:42, 98, 92
2014-06-29, 20:43:43, 98, 91
2014-06-29, 20:43:44, 98, 89
2014-06-29, 20:43:45, 98, 85
2014-06-29, 20:43:46, 98, 83
2014-06-29, 20:43:47, 98, 82
2014-06-29, 20:43:48, 97, 80
2014-06-29, 20:43:49, 97, 80
2014-06-29, 20:43:50, 97, 80
2014-06-29, 20:43:51, 97, 80
2014-06-29, 20:43:52, 97, 80
2014-06-29, 20:43:53, 97, 80
2014-06-29, 20:43:54, 97, 80
2014-06-29, 20:43:55, 97, 80
2014-06-29, 20:43:56, 97, 80
2014-06-29, 20:43:57, 97, 80
2014-06-29, 20:43:58, 97, 81
2014-06-29, 20:43:59, 97, 81
2014-06-29, 20:44:00, 97, 80
2014-06-29, 20:44:01, 97, 79
2014-06-29, 20:44:02, 97, 79
2014-06-29, 20:44:03, 97, 79
2014-06-29, 20:44:04, 97, 78
